Estres	Dulces
-2.49	2.17
-2.49	-2.37
-2.47	1.64
-2.43	1.9
-2.34	1.91
-2.33	1.72
-2.26	-2.49
-2.25	2.39
-2.23	-1.13
-2.23	-1.62
-2.21	-1.83
-2.17	-2.49
-2.15	-2.07
-2.12	2.53
-2.1	-2.82
-2.07	1.62
-2.06	1.75
-2.05	-2.18
-2.03	2.46
-2.01	-1.92
-2	-1.82
-1.99	1.08
-1.99	1.76
-1.97	-2.59
-1.97	-2.77
-1.96	-1.51
-1.95	1.19
-1.94	1.98
-1.93	-1.59
-1.93	-2.12
-1.92	-1.16
-1.92	2.32
-1.92	-1.48
-1.92	-2.64
-1.89	1.32
-1.88	1.94
-1.87	-2.96
-1.87	1.32
-1.86	-1.35
-1.86	-1.87
-1.84	-2.04
-1.84	-2.1
-1.84	-2.75
-1.83	2.12
-1.82	1.56
-1.82	-2.92
-1.82	2.16
-1.81	1.83
-1.79	-2.3
-1.77	-1.85
-1.77	-1.78
-1.76	2.05
-1.75	1.8
-1.74	1.61
-1.74	-2.53
-1.73	2.55
-1.73	1.34
-1.72	-2.29
-1.72	2.54
-1.72	-2.14
-1.72	-1.73
-1.72	-1.77
-1.72	-1.96
-1.72	1.49
-1.71	1.82
-1.71	2.63
-1.7	-1.24
-1.7	1.99
-1.69	1.2
-1.69	-2.05
-1.69	-2.09
-1.69	2.68
-1.68	1.57
-1.68	-2.13
-1.68	1.79
-1.67	1.67
-1.67	2.32
-1.67	-2.02
-1.66	-2.2
-1.66	1.66
-1.66	-1.5
-1.65	2.13
-1.65	-2.11
-1.65	0.94
-1.65	-1.35
-1.65	-1.54
-1.64	1.91
-1.64	1.83
-1.63	2.27
-1.63	-2.45
-1.62	1.91
-1.61	2.08
-1.61	2.16
-1.61	1.44
-1.61	-2.48
-1.6	-1.91
-1.6	2.39
-1.59	0.93
-1.59	0.98
-1.58	1.82
-1.58	1.65
-1.58	-1.56
-1.58	1.34
-1.58	2.12
-1.57	-2.34
-1.57	2.66
-1.57	2.6
-1.56	-2.1
-1.56	2.33
-1.56	-1.43
-1.55	2.01
-1.55	2.09
-1.55	1.95
-1.55	1.99
-1.54	-1.88
-1.53	-2.18
-1.53	2.2
-1.53	2.16
-1.53	1.65
-1.53	1.96
-1.53	-2.21
-1.53	-2.3
-1.52	-3.44
-1.51	-2.3
-1.51	2.78
-1.51	-2.52
-1.5	2.03
-1.5	-2.34
-1.5	-3.03
-1.5	1.53
-1.5	-1.23
-1.49	1.89
-1.49	1.85
-1.49	1.79
-1.49	-1.74
-1.48	-1.46
-1.47	-2.61
-1.47	1.92
-1.47	-1.85
-1.47	1.86
-1.47	-2.14
-1.46	1.57
-1.46	2.4
-1.46	1.56
-1.45	-2.29
-1.45	-1.38
-1.45	-2.01
-1.45	-2.16
-1.44	1.76
-1.44	-2.33
-1.44	1.78
-1.43	-1.19
-1.43	-2.33
-1.43	-2.11
-1.43	2.55
-1.43	2.09
-1.42	-2.41
-1.42	-1.52
-1.42	-2.22
-1.42	-2.62
-1.41	2.15
-1.41	-1.76
-1.41	-2.12
-1.4	1.18
-1.4	2.7
-1.4	1.66
-1.39	2.73
-1.39	2.65
-1.39	-1.74
-1.39	2.29
-1.39	1.99
-1.39	-1.6
-1.38	2.33
-1.38	2.41
-1.37	-1.82
-1.37	-2.42
-1.37	-2.49
-1.37	2.25
-1.36	-1.33
-1.36	2.02
-1.36	-0.64
-1.36	2.58
-1.35	2.29
-1.35	-2.13
-1.35	-2.07
-1.35	1.09
-1.35	-1.42
-1.34	2.3
-1.34	1.77
-1.34	-1.9
-1.33	-1.8
-1.33	-2.11
-1.33	-1.08
-1.33	2.38
-1.33	1.47
-1.32	2.75
-1.32	2.02
-1.32	-2.05
-1.32	1.63
-1.32	-1.48
-1.31	-2.68
-1.31	-2.08
